name,slug,% (of GDP),date_of_information,ranking,region
"Egypt","egypt","12.52","2015",166,"Africa"
"Uganda","uganda","12.46","2021",167,"Africa"
"Liberia","liberia","12.46","2013",168,"Africa"
"United States","united-states","12.32","2022",169,"North America"
"Bhutan","bhutan","12.28","2020",170,"South Asia"
"India","india","12.02","2018",171,"South Asia"
"Papua New Guinea","papua-new-guinea","11.88","2020",172,"East and Southeast Asia"
"Tanzania","tanzania","11.7","2018",173,"Africa"
"Russia","russia","11.65","2021",174,"Central Asia"
"Guatemala","guatemala","11.61","2021",175,"Central America and the Caribbean"
"Gabon","gabon","11.48","2019",176,"Africa"
"Argentina","argentina","11.47","2021",177,"South America"
"Malawi","malawi","11.38","2021",178,"Africa"
"Cameroon","cameroon","11.35","2021",179,"Africa"
"Ghana","ghana","11.34","2020",180,"Africa"
"Malaysia","malaysia","11.21","2021",181,"East and Southeast Asia"
"Congo, Democratic Republic of the","congo-democratic-republic-of-the","11.2","2017",182,"Africa"
"Germany","germany","11.18","2021",183,"Europe"
"Tajikistan","tajikistan","10.35","2021",184,"Central Asia"
"Madagascar","madagascar","10.24","2021",185,"Africa"
"Angola","angola","10.09","2019",186,"Africa"
"Switzerland","switzerland","10.09","2021",187,"Europe"
"Afghanistan","afghanistan","9.9","2017",188,"South Asia"
"Paraguay","paraguay","9.79","2021",189,"South America"
"Guinea-Bissau","guinea-bissau","9.46","2019",190,"Africa"
"Kazakhstan","kazakhstan","9.45","2021",191,"Central Asia"
"Indonesia","indonesia","9.09","2021",192,"East and Southeast Asia"
"Yemen","yemen","9","2017",193,"Middle East"
"Puerto Rico","puerto-rico","8.9","2017",194,"Central America and the Caribbean"
"South Sudan","south-sudan","8.5","FY2017/18",195,"Africa"
"Congo, Republic of the","congo-republic-of-the","8.32","2020",196,"Africa"
"Saudi Arabia","saudi-arabia","8.24","2020",197,"Middle East"
"Central African Republic","central-african-republic","8.21","2021",198,"Africa"
"China","china","7.97","2021",199,"East and Southeast Asia"
"Bangladesh","bangladesh","7.64","2021",200,"South Asia"
"Panama","panama","7.46","2021",201,"Central America and the Caribbean"
"Sudan","sudan","7.39","2016",202,"Africa"
"Sri Lanka","sri-lanka","7.38","2021",203,"South Asia"
"Zimbabwe","zimbabwe","7.21","2018",204,"Africa"
"Micronesia, Federated States of","micronesia-federated-states-of","6.43","2020",205,"Australia and Oceania"
"Ethiopia","ethiopia","6.2","2020",206,"Africa"
"Burma","burma","6.02","2019",207,"East and Southeast Asia"
"Lebanon","lebanon","5.68","2021",208,"Middle East"
"Equatorial Guinea","equatorial-guinea","5.44","2021",209,"Africa"
"Syria","syria","4.2","2017",210,"Middle East"
"Nigeria","nigeria","3.4","2017",211,"Africa"
"Iraq","iraq","1.34","2019",212,"Middle East"
"United Arab Emirates","united-arab-emirates","0.54","2021",213,"Middle East"
"Somalia","somalia","0","2020",214,"Africa"
