name,slug,%,date_of_information,ranking,region
"Russia","russia","-2.07","2022",204,"Central Asia"
"Tonga","tonga","-2.67","2021",205,"Australia and Oceania"
"Hong Kong","hong-kong","-3.48","2022",206,"East and Southeast Asia"
"Solomon Islands","solomon-islands","-4.06","2022",207,"Australia and Oceania"
"Belarus","belarus","-4.7","2022",208,"Europe"
"Moldova","moldova","-5.02","2022",209,"Europe"
"South Sudan","south-sudan","-5.2","2017",210,"Africa"
"Samoa","samoa","-5.31","2022",211,"Australia and Oceania"
"Lebanon","lebanon","-7","2021",212,"Middle East"
"Sri Lanka","sri-lanka","-7.82","2022",213,"South Asia"
"Isle of Man","isle-of-man","-8.84","2020",214,"Europe"
"Palau","palau","-13.72","2021",215,"Australia and Oceania"
"Venezuela","venezuela","-19.67","2018",216,"South America"
"Timor-Leste","timor-leste","-20.54","2022",217,"East and Southeast Asia"
"Afghanistan","afghanistan","-20.74","2021",218,"South Asia"
"Macau","macau","-21.45","2022",219,"East and Southeast Asia"
"Ukraine","ukraine","-29.1","2022",220,"Europe"
"Northern Mariana Islands","northern-mariana-islands","-29.68","2020",221,"Australia and Oceania"
